video_id,upload_days,title,description,tags,duration,subscriber_count,view22,like_22,comment_22,view_inc_23,view_inc_24_noon,view_inc_24_night,view_inc_25_noon,view_inc_25_night,like_inc_23,like_inc_24_noon,like_inc_24_night,like_inc_25_noon,like_inc_25_night,comment_inc_23,comment_inc_24_noon,comment_inc_24_night,comment_inc_25_noon,comment_inc_25_night,like_26,comment_26,view_26
3nuk8E_HUIY,1849,1,6,7,2.4833333,1710000,167063,327,0,3055,3490,1455,956,1001,1,3,0,1,0,0,0,0,0,0,333,0,178408
1lCHI-ZrKsU,268,0,0,0,80.01667,393000,1464,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1464
acL3bAMhzMs,87,0,0,0,534.63336,393000,1010,47,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,47,2,1012
QmI6QI_4qJE,53,3,7,16,58.916668,0,58883,320,8,1321,722,92,208,116,7,5,0,0,0,0,0,0,0,0,333,8,61602
2JWEuLg3dvo,3221,0,0,0,2.25,297000,6255,59,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,9,6257
mDX1dZWAEM0,4443,0,0,0,0.45,3210000,675888,456,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,456,67,675888
FNiZXIVkfVo,72,3,6,20,73.86667,0,5146969,26101,621,20687,22014,7486,8236,3483,69,63,28,20,12,-1,5,0,2,0,26316,629,5216311
SpMTr84pPBA,1870,1,0,0,2.1666667,52400,2874371,2420,65,15255,31371,13059,16295,8343,25,19,5,8,2,0,0,0,0,0,2483,66,2964540
Kq_H0bnwhJI,7,2,14,11,67.95,393000,2037,30,1,220,53,18,8,15,2,0,1,0,0,0,0,0,0,0,33,1,2366
XNwxdez62ZY,24,3,7,17,706.65,0,361988,1578,41,18678,17501,2913,5334,3060,40,43,6,18,17,3,-1,0,0,0,1718,43,415392
SS0watOVTdk,1833,1,1,0,2.05,52400,5712,82,2,10,9,4,3,3,0,0,0,0,0,0,0,0,0,0,82,2,5748
PEueuB5zQk4,264,0,0,0,93.13333,100000,566,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,566
D8X1cJeWbC0,73,3,6,19,84.36667,0,23890,212,7,495,498,84,179,84,0,1,1,1,1,0,1,1,0,0,218,9,25359
ces0kXK9BLE,1964,0,0,0,2.1166666,37500000,6784971,11467,0,2211,1931,1007,799,693,2,2,0,2,2,0,0,0,0,0,11477,0,6793509
3XJrKNIWO20,100,0,0,0,482.68332,3410000,240210,2711,58,379,260,94,83,87,3,0,0,0,-1,1,0,0,0,0,2713,59,241357
T1T_KjJcMpA,456,0,0,0,10.1,297000,23911,641,44,33,23,18,7,5,1,0,0,0,0,0,0,0,0,0,642,44,24016
Bi4qt2EHj2M,366,1,20,19,191.15,1710000,154056,1207,139,744,729,323,452,231,5,13,4,2,1,0,1,0,0,0,1238,140,156938
TloaiOThhks,21,0,0,0,0.0,149000,405097,1977,0,30056,20686,10431,4545,9478,112,86,62,37,52,0,0,0,0,0,2415,0,495388
TloaiOThhks,21,0,0,0,0.0,149000,405935,1983,0,29218,20686,10431,4545,9478,106,86,62,37,52,0,0,0,0,0,2415,0,495388
kAYYwfKlr3I,3628,0,0,0,3.3333333,50700000,5387599,44158,7286,27,18,6,12,11,0,-2,0,-1,0,-3,-1,0,0,0,44155,7283,5387685
kn5ybViJyRk,36,2,12,5,55.566666,393000,1730,34,4,57,69,43,35,26,0,0,0,0,0,0,0,0,0,0,34,4,1978
6g4qZh9qt_k,1187,0,0,0,2.15,37500000,23099528,63464,0,15023,14782,4718,5621,4692,40,28,12,21,7,0,0,0,0,0,63600,0,23159091
ooOauqgiUJA,1908,0,0,0,2.7166667,3210000,144764,2267,96,334,543,268,163,93,0,1,2,1,0,0,0,0,0,0,2272,96,146292
TGXO-rRMe0w,371,3,12,19,77.333336,1710000,322282,1240,60,2997,3478,1717,1330,816,8,13,9,7,3,0,0,0,1,0,1282,61,333107
N7t18v46Usc,16,1,11,15,62.216667,393000,11450,70,3,1176,1399,1064,615,651,5,7,1,2,1,0,0,0,0,0,89,4,16746
_P8TzGbF-us,68,0,0,0,73.433334,393000,420,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,421
KjdCiVhirtw,2847,0,0,0,22.65,297000,120563,698,58,11,9,3,4,2,0,0,0,0,0,0,0,0,0,0,698,58,120596
q0jwDR4rbCM,1675,0,0,0,211.35,3410000,8312624,47567,962,2618,2239,608,822,476,19,14,3,6,7,0,1,0,0,0,47625,963,8321038
