video_id,view_22,like_22,subscriber_count,comment_22,view_23,like_23,comment_23,view_24,like_24,comment_24,view_24_23,like_24_23,comment_24_23,view_25_9,like_25_9,comment_25_9,view_25_17,like_25_17,comment_25_17,view_26,like_26,comment_26
C4ZOdH-5ubE,153206,1116,297000,61,153207,1116,61,153218,1116,61,153222,1116,61,153223,1116,61,153227,1116,61,153232,1116,61
p2-p0gSoY58,77303,4019,3410000,29,77309,4019,29,77314,4019,29,77317,4018,29,77318,4018,29,77318,4018,29,77323,4018,29
b9Kp0yo8av8,17501,68,0,2,17623,68,2,17711,69,2,17743,69,2,17765,69,2,17777,69,2,17815,69,2
-tKdIOHUpbM,94062,1255,8220000,64,94097,1255,64,94123,1255,64,94134,1255,64,94144,1255,64,94150,1255,64,94168,1257,64
2gftgtedvI0,63145747,104195,37500000,0,63160685,104206,0,63173903,104222,0,63178393,104223,0,63183062,104223,0,63187569,104229,0,63198567,104252,0
1I6VjI79QqM,8692317,11105,37500000,0,8693432,11106,0,8694332,11106,0,8694650,11106,0,8694915,11106,0,8695198,11106,0,8695636,11106,0
y83x7MgzWOA,494514498,5959121,50700000,188127,494672876,5960221,188152,494836235,5961276,188146,494894217,5961641,188146,494955276,5962073,188147,495000887,5962337,188145,495110828,5963194,188191
XQzNVewXdWY,69924,6203,8220000,731,69930,6203,731,69933,6203,731,69938,6203,731,69940,6203,731,69943,6203,731,69948,6204,731
_ARxLReGQwk,101112,908,3410000,18,101123,909,18,101140,911,18,101145,913,18,101150,913,18,101155,913,18,101163,916,18
ZdsPbE9awKY,2303803,13529,1710000,0,2318519,13601,0,2331772,13664,0,2335304,13674,0,2340907,13702,0,2342780,13707,0,2349329,13726,0
gY9o0rsSOYY,73913,568,8220000,81,73920,569,81,73926,569,81,73926,569,81,73927,569,81,73928,569,81,73934,570,81
ubRKjZta0Pw,598588,2096,37500000,0,600065,2100,0,601788,2105,0,602324,2109,0,603073,2114,0,603636,2116,0,605144,2121,0
KQX_HncvD2Y,9894398,35281,3410000,747,9894808,35287,747,9895151,35290,747,9895309,35289,747,9895448,35291,747,9895551,35293,747,9895947,35295,747
